,Unnamed: 0,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment,Cleaned
67,67,@inquiredotnet @chonayu1 Does this have an effect on Sen Manny Pacquiao's candidacy?,0.0,0.0,1.0,0.0,Neutral,effect sen manni pacquiao  candidacy 
68,68,"WATCH: Rappler's @reyaika & amp;@RyanMacasero recap presidential candidate Manny Pacquiao's meeting de Avance held in Cebu on Friday, May 6. Pacquiao will hold another meeting de Avance in his hometown General Santos City on Saturday, May 7. #phvote #Wedecide

https://t.co/zdqkmyvf8m https://t.co/lto2n5Funy",0.0,0.0,1.0,0.0,Neutral,watch  rappler  amp  recap presidenti candid manni pacquiao  meet de avanc held cebu friday  may pacquiao hold anoth meet de avanc hometown gener santo citi saturday  may    
69,69,@cybersnitch whejsjdj its so pathetic… .. whoever thought of the manny pacquiao pin # needs to be smacked ..,0.0,0.0,1.0,0.0,Neutral,whejsjdj pathet    whoever thought manni pacquiao pin need smack   
70,70,"Missed the meeting de avance of presidential candidate Manny Pacquiao in Cebu?Rappler's @reyaika and @RyanMacasero give us the highlights.#Phvote #wedecide

WATCH: https://t.co/RKKTRFSEUQ https://t.co/MZJABDM5ND",0.0,0.091,0.909,-0.296,Negative,miss meet de avanc presidenti candid manni pacquiao cebu rappler  give us highlights 
71,71,Are you Manny Pacquiao?When you hit me I hit you 😌,0.0,0.0,1.0,0.0,Neutral,manni pacquiao when hit hit
72,72,"Presidential candidate Sen.@Mannypacquiao is his Avance meeting in Cebu City tonight for #Election2022.

Courtesy: Team Pacquiao

Visit https://t.co/0jbnlxhcen for news about #election2022.https://t.co/B71NFCCST",0.106,0.0,0.894,0.3612,Positive,presidenti candid sen  avanc meet cebu citi tonight  courtesy  team pacquiaovisit news
73,73,@yoanglwtf_ hi you manny pacquiao,0.0,0.0,1.0,0.0,Neutral,hi manni pacquiao
74,74,@orjyyyyy that manny pacquiao joke 😬😬😬,0.306,0.0,0.694,0.296,Positive,manni pacquiao joke
75,75,"@Msmdulay @eastersunday @jokoy eh?Really?everyone has a bank account Manny Pacquiao?Wrong.

Most only has one breadwinner with one DBank account in a family.",0.0,0.0,1.0,0.0,Neutral,eh really everyon bank account manni pacquiao wrong most one breadwinn one dbank account family 
76,76,LOOK: Pres'l aspirant Senator Manny Pacquiao holds his meeting de avance in Cebu on Friday night.This is one of his 2 meetings de avances to be held before the campaign period ends.📸: Team Pacquiao |@manilabulletin https://t.co/twpluf1pnz,0.0,0.0,1.0,0.0,Neutral,look  pres l aspir senat manni pacquiao hold meet de avanc cebu friday night thi one meet de avanc held campaign period ends   team pacquiao
77,77,Senator Manny Pacquiao takes the stage in his grand rally in Cebu.Promises to help the poor if he wins.|@Ancalerts @abscbnnews https://t.co/aso3x5ujbr,0.213,0.116,0.672,0.3818,Positive,senat manni pacquiao take stage grand ralli cebu promis help poor wins  
78,78,who uses manny pacquiao's birthday as an atm pin 🙄,0.0,0.0,1.0,0.0,Neutral,use manni pacquiao  birthday atm pin
79,79,@monicataher @obj @aaronrodgers12 @mannypacquiao @therock,0.0,0.0,1.0,0.0,Neutral,
80,80,"@inquiredotnet @dygalvezinq you know what's a missed opportunity?Manny Pacquiao followers should have named their group the Pacquers and Manny's mom as the mother Pacquer.

#VotePH",0.0,0.087,0.913,-0.296,Negative,know what  miss opportunity manni pacquiao follow name group pacquer manny  mom mother pacquer 
81,81,"Mommy Dionesia Pacquiao, a game that was entertained by the ballroom dancing, those who attended Sen's Avance meeting.@Mannypacquiao in Cebu.

📷 Team Pacquiao
@onenewsph @news5ph @tv5manila https://t.co/wduztojknj",0.101,0.0,0.899,0.4019,Positive,mommi dionesia pacquiao  game entertain ballroom dancing  attend sen  avanc meeting  cebu  team pacquiao
82,82,"@DygalvezinQ The Lyrics Goes:

“Manny Pacquiao is here, ready to help people.

Because he came from hardship, he felt the poor

Manny Pacquiao is waiting for us, he wants us to be real. ”#VotePH |@DygalvezinQ",0.125,0.13,0.745,-0.0516,Negative,lyric goes manni pacquiao here  readi help people becaus came hardship  felt poormanni pacquiao wait us  want us real 
83,83,"The Lyrics Goes:

“Manny Pacquiao is here, ready to help people.

Because he came from hardship, he felt the poor

Manny Pacquiao is waiting, he wants us to be real ”@inquiredotnet",0.138,0.144,0.718,-0.0516,Negative,lyric goes manni pacquiao here  readi help people becaus came hardship  felt poormanni pacquiao waiting  want us real
84,84,Manny Pacquiao May Travel to Australia to Support Former Sparring Partner George Kambosos JR in Maiden Title Defence https://t.co/AZWEWJRVCH,0.194,0.0,0.806,0.4767,Positive,manni pacquiao may travel australia support former spar partner georg kamboso jr maiden titl defenc
85,85,Manny Pacquiao May Travel to Australia to Support Former Sparring Partner George Kambosos JR in Maiden Title Defence https://t.co/FCDVOPUHG1,0.194,0.0,0.806,0.4767,Positive,manni pacquiao may travel australia support former spar partner georg kamboso jr maiden titl defenc
86,86,It was cloudy but the supporters of Presidential Candidate @mannypacquiao at the Cebu City rally |Rh14 @leth_narciso #decision2022 #samasamatayoPilipino https://t.co/mtnwup0zd8,0.168,0.0,0.832,0.5927,Positive,cloudi support presidenti candid cebu citi ralli  rh  
87,87,Manny Pacquiao May Travel to Australia to Support Former Sparring Partner George Kambosos JR in Maiden Title Defence https://t.co/cvrxdhn7uj,0.194,0.0,0.806,0.4767,Positive,manni pacquiao may travel australia support former spar partner georg kamboso jr maiden titl defenc
88,88,@kulotissima @inquirerdotnet @mannypacquiao stance!,0.0,0.0,1.0,0.0,Neutral,stance 
89,89,@nobita_rocks the manny pacquiao birthday joke made me cringe tho 😬 haha,0.366,0.0,0.634,0.6369,Positive,manni pacquiao birthday joke made cring tho haha
90,90,@Dygalvezinq LOOK: Singer Freddie Aguilar performs the song he wrote for Pacquiao titled “Blood and Sweat: The Ballad of Manny Pacquiao.”#VotePH |@DygalvezinQ https://t.co/Fyk4Wndfn4,0.0,0.0,1.0,0.0,Neutral,look  singer freddi aguilar perform song wrote pacquiao titl blood sweat  ballad manni pacquiao 
91,91,Singer Freddie Aguilar performs the song he wrote for Pacquiao titled “Blood and Sweat: The Ballad of Manny Pacquiao.”@inquiredotnet https://t.co/898MZPOIVD,0.0,0.0,1.0,0.0,Neutral,singer freddi aguilar perform song wrote pacquiao titl blood sweat  ballad manni pacquiao 
92,92,@Yojaexxd Manny Pacquiao?,0.0,0.0,1.0,0.0,Neutral,manni pacquiao 
93,93,"Look |Cebu Vote: Celebrity Siblings Ruffa and Richard Gutierrez, and Richard's wife, Sarah Labhati, lend their star power to presidential candidate Manny Pacquiao during the latter's campaign rally in Cebu City Friday.|Via Aldo Banaynal #TheFreeMan #Cebuvote https://t.co/E5D1ZAIEUP",0.0,0.0,1.0,0.0,Neutral,look  cebu vote  celebr sibl ruffa richard gutierrez  richard  wife  sarah labhati  lend star power presidenti candid manni pacquiao latter  campaign ralli cebu citi friday  via aldo banayn
94,94,Mommy Dionesia and Jinkee Pacquiao are present at the campaign rally by Presidential Candidate Sen.Manny Pacquiao in Cebu City.|Via The Freeman/Romeo Marantal #AsPilipino2022 https://t.co/2xksqweait,0.0,0.0,1.0,0.0,Neutral,mommi dionesia jinke pacquiao present campaign ralli presidenti candid sen manni pacquiao cebu city  via freeman romeo marant
95,95,@Senleiladelima @mannypacquiao you are about to achieve justice Madam Senator,0.274,0.0,0.726,0.5267,Positive,achiev justic madam senat
96,96,"Look |Cebu Vote: Dionesia Pacquiao, mother of presidential aspirant Manny Pacquiao, and the latter’s wife, Jinkee, show support to the senator during his campaign rally in Cebu City Friday |Via Aldo Banaynal #TheFreeMan #Cebuvote https://t.co/TCD29PQL0C",0.074,0.0,0.926,0.4019,Positive,look  cebu vote  dionesia pacquiao  mother presidenti aspir manni pacquiao  latter wife  jinkee  show support senat campaign ralli cebu citi friday  via aldo banayn
97,97,"Look |Cebu Vote: Dionesia and Jinkee Pacquiao, mother and wife of Sen.Manny Pacquiao, join the presidential aspirant in his campaign rally in Cebu City.Also present was former Pinamungajan Mayor Geraldine Yapha.|via romeo marantal #thefreeman #cebuvote https://t.co/go6h1cchad",0.059,0.0,0.941,0.296,Positive,look  cebu vote  dionesia jinke pacquiao  mother wife sen manni pacquiao  join presidenti aspir campaign ralli cebu city also present former pinamungajan mayor geraldin yapha  via romeo marant
98,98,@iloveruffag @mannypacquiao hi po!,0.0,0.565,0.435,-0.5983,Negative,hi po 
99,99,Manny Pacquiao May Travel to Australia to Support Former Sparring Partner George Kambosos JR in Maiden Title Defence https://t.co/DMCF0cMVKI #boxing,0.186,0.0,0.814,0.4767,Positive,manni pacquiao may travel australia support former spar partner georg kamboso jr maiden titl defenc
100,100,@DygalvezinQ LOOK: A poster here at Pacquiao's meeting de avance in Cebu City says “among President Manny Pacquiao.Win the poor.The Filipino wins. ”#VotePH |@DygalvezinQ https://t.co/a0awadnkxb,0.139,0.0,0.861,0.5719,Positive,look  poster pacquiao  meet de avanc cebu citi say among presid manni pacquiao win poor th filipino wins 
101,101,LOOK: A poster here at Pacquiao's meeting de Avance in Cebu City says “Our President Manny Pacquiao.Win the poor.The Filipino wins. ”@inquiredotnet https://t.co/cmghgsbasm,0.15,0.0,0.85,0.5719,Positive,look  poster pacquiao  meet de avanc cebu citi say presid manni pacquiao win poor th filipino wins 
102,102,"So happy that Papa is now converted to vote for Ma'am VP Leni from Sen.Manny Pacquiao!💗💗💗🎉 Will try converting my younger brother and ate, too!

#IPANA10natinparaalawahat
#LenikikoAllTheway2022
#LENIFURPRESSIDENT2022",0.145,0.0,0.855,0.6785,Positive,happi papa convert vote ma am vp leni sen manni pacquiao  tri convert younger brother ate  too 
103,103,"Msu-Maguindanao Mock Election (Organized by the College of Public Affairs and Governance)

PRESIDENTS:
@lenirobredo @bongbongmarcos @iskomoreno @mannypacquiao @iampinglacson
 
Photo grabbed from CPAG's Facebook page.https://t.co/4WXW42L2ms",0.0,0.109,0.891,-0.4215,Negative,msu maguindanao mock elect  organ colleg public affair governance presidents  photo grab cpag  facebook page 
104,104,"@reyaika LOOK: Supporters atop a building near the meeting de avance venue.Message reads “among President, Manny Pacquiao,” adds not wanting to meet the boxing champ for a long time.#Phvote #wedecide |via @reyaika https://t.co/pvgjw0fw4x",0.171,0.0,0.829,0.7184,Positive,look  support atop build near meet de avanc venue messag read among president  manni pacquiao  add want meet box champ long time   via
105,105,@Senleiladelima @mannypacquiao HAHAHAHAHAHAHAHAHAHAHADOKENZ.Hope Manny and Leni really debated.😂,0.0,0.0,1.0,0.0,Neutral,hahahahahahahahahahahadokenz hop manni leni realli debated 
106,106,"LOOK: Supporters atop a building near the meeting de avance venue.Message reads “among President, Manny Pacquiao,” adds not wanting to meet the boxing champ for a long time.https://t.co/LTCRG8eyqu",0.2,0.0,0.8,0.7184,Positive,look  support atop build near meet de avanc venue messag read among president  manni pacquiao  add want meet box champ long time 
107,107,@programmersedge @mannypacquiao @joshworley_io 👀,0.0,0.0,1.0,0.0,Neutral,
108,108,@programmersedge @mannypacquiao brilliant idea @telcoin_team,0.487,0.0,0.513,0.5859,Positive,brilliant idea
109,109,"WATCH: Presidential Candidate Manny Pacquiao holds a meeting de avance in Cebu Province, the Visayas leg of his advanced rallies on Friday, May 6. #phvote #Wedecide https://t.co/zDQKMYVF8M https://t.co/Q7N7W0ade",0.071,0.0,0.929,0.25,Positive,watch  presidenti candid manni pacquiao hold meet de avanc cebu province  visaya leg advanc ralli friday  may
110,110,"@reyaika Richard: Make the right Choice.Let's go to the cleanest person, Manny Pacquiao.#Phvote #wedecide |via @reyaika",0.0,0.0,1.0,0.0,Neutral,richard  make right choice let  go cleanest person  manni pacquiao   via
