,0
81,ilan sa mga katanungan ko sa ibang support ng iba ibang kandidato 
82,days araw  adlaw  das 
83,courtesy  team kiko jimmi dasalbisitahin ang para sa mga balita tungkol sa
84,aerial shot ng isingawang camarin sur grand rally  angat buhay bicolandia na dinaluhan nina presidenti candid vice presid run mate niyang si sen  sa naga  camarin sur kagabi 
85,ever bother complaining i cant even vote yet   wtfish 
86,side polit spectrum  huwag gamitin ang sitwasyon para maghuga ng kamay  parehong kampo may  bad eggs  
87,eleksyon  polit multivers madness  accord polit scientist    
88,grabe ang epekto ng
89,whew  made sure  yet anoth anxieti reduc move  tri everything 
90,kakampink  listen up  win elect thu mama leni too  podcast from  erwan heussaff wil dasovich
91,look like scene music busi crowd street manila  energi electrifi  amp  convict chang palpable  integr public servic vs kleptocraci
92,day left make vote count vote wisely 
93,latest final publicu asia survey  may    
94,ben amp ben make import stand issu concern power abus public servic releas  kapangyarihan  perform video  featur sb    releas time monday 
95,isinagawa ni presidenti candid sen  ang kaniyang mite de avanc sa cebu citi ngayong gabi para sa courtesy  team pacquiaobisitahin ang para sa mga balita tungkol sa
96,continu toxic trait  presid lose votes  smart action words  passion differ tactless 
97,prepar upcom elections  mental health matter
98,endors whoever want explicitly  part dapat totoo gma network  dongyan is 
99,metro manila mayor elect total unscientif polls 
100,may common denomin ata kayo ni leandro leviste  sen  good one 
101,marathon coverag schedul sa pamamagitan ng mga kapuso  watch marathon coverag sa may       no sign off  sa gma gtv
102,kasabay ng paghahanda para sa mage handa rin po sa mga posibleng pag ulan ngayong weekend sa rainfal forecast ng posibleng ulanin buka ang malak bahagi ng ilang lugar sa mimaropa 
103,remind oversea voter ballot due philippin consul may time  us  mean today tomorrow 
104,amen 
105,
106,
107,talk parent discuss vote monday  healthi share insight opinion candid brighter future  make list candid cup tea 
108,bisitahin ang para sa mga balita tungkol sa
109,isinagawa nina presidenti candid sen  ka tandem niyang si senat presid ang kanilang mite de avanc sa carmona  cavit ngayong gabi  via gma news onlin
110,
111,heavi traffic common everywhere  like this  akala ko fiesta na ulit dito samin  lakad pauwi  hahaha may pa aegi kasi si former mmda gm jojo garcia who run congressman  may nagtanong pa sakin sakayan ng pa cubao san mateo  rizal 
112,say govern power chang lives  say  power chang government     
113,feel like may longest monday lives  pilipinas  gising 
114,mga pasaherong uuwi sa probinsya para bumoto sa lunes  araw ng dagsa na sa mga bu termin sa metro manila naia
115,sa tondo  kung saan lumaki si manila mayor isko moreno  magtatapo ang kanyang pangangampanya sa pero giit ni moreno sa pagbisita niya sa leyte  nananalaytay pa rin sa kanya ang dugong bisaya  may
116,wish ko ay malini na eleksyon    ngayong malapit na ang eleksyon baka magkaroon pa ng gymnast kaya ingat ingat sa mga biglaang pasabog na news gimmicks   
117,woe  masa   compris major voters  possess condescend attitude  prejudic elitism  real reason lose  stupid 
118,pwede kaya na ako na lang boboto para kay mama act pa din sa list e   hahahamagpproxi po sana   mama ko naman yun e  dali naaaaminsan lang e  wag madamot 
119,bisitahin ang para sa mga balita tungkol sa
120,nasa bataan si presidenti candid norberto gonzal ngayong araw kung saan nagkaroon siya ng privat meet kasama ang obispo ng bataan  sinundan ito ng isang caucu na inorganisa ng kaniyang mga kaibigan pamilya  courtesy  pdsp inform offic
121,undecided  watch this 
122,report davao citi
123,end day final may signal na kami sa g  perfecto hs 
124,ilang araw na lang po ang elect po get readi na po kung sino po ang iboboto ninyo po mga kandidato sa darat na halal pumili ng tamang kandidato na iboboto ninyo po hindi yun puro salita ang binibigka kundi gawa din
125,sad  hindi na makatarungan  ipanalo natin to  may rest peac kauniteam  ilaban natin to 
126,mari kinukundina ng stand bulsu ang atak na ito hindi lamang sa kandidatura ni colmenar kundi sa integridad  kalinisan  kapayapaan ng lumang linyahan na ng pasistang estado ang redtag terrorist tag sa mga progresibong organisasyon kandidato
127,paalala mula kay alden richard
128,para sa updat lalo sa papalapit na i follow kami sa magsubscrib sa
129,yan ang ilang mga paalala sa atin ngayong darat na antabayanan ang special coverag ng altermidya sa lunes  sama sama tayong bumoto nang tama  magbantay  kumilos 
130,yung pangit ka insid pagdas ko na lang na gumanda ka kaya magsisimba pa din ako sa sunday
131,
132,abang abang na  nagkakabigayan na 
133,bisitahin ang para sa mga balita tungkol sa
134,dutert never said bbm  made blind item  said word categor said bbm  context said matters  time  root loyal assist bong go run presid
135,nag ikot si presidenti candid ernesto abella sa vigan  iloco sur ngayong araw  ipinaliwanag din niya ang kahalagahan ng pagtutok sa agrikultura sa bansa para kumita ang mga magsasaka  ernesto abella
136,kodigo para sa mga pasayeo
137,buka ko ipo post sa socm ang iboboto kong pre vp may elections 
138,said number passeng went termin bu trip holi week break     
139,fellow filipino make fun  ridicul  amp  see laugh issu elect  amp  candid are   embarrass world
140,hindi po nakakahiyang magpalit ng isip  may ora pa po  tandaan po natin na ang resulta ng ate pagboto sa lune ay para sa ate bayan kinabukasan 
141,kasama ang sa mga tumatanggap ng report ng mga paglabag sa karapatan sa
142,ipaalam ang mga iregularidad paglabag sa panahon ng
143,bago ang may ilang paalala ang comelec bago ang araw ng botohan  may bisitahin ang para sa iba pang updat tungkol sa
144,month call  a weak leader   a spoil child   presid rodrigo dutert day claim presidenti candid former senat ferdinand marco jr  money live simply 
145,never sell vote
146,di ka pa affected  wala lang sayo ang bakit  i future  children  futur important pleas vote candidates    vote love ones vot philippin choos best candid lead us better future 
147,filipino voter pleas read thi post post brother abl word thought come election kung pilipino ka  paki basa please 
148,tama si bbm  unity  uniti ang kailangan ng bansa natin ngayon  dahil pag nagkaisa ang tao  takot ang gobyerno sa tao  sa gobyernong takot  walangmagnanakaw  angat buhay lahat  kaninong gobyerno ang patungo dito  kay bbm leni  basahin 
149,pnp  ginagawa ang lahat para matiyak ang isang pata ligta na sa lunes  via
150,pleas let seat office  support marcos  malacaan bid convict politician businessmen involv dubiou deals  pleas let countri fall wrong hands  smart 
151,let  claim it  artwork by   me lol 
152,mga kapuso  tandaan ngayong piliin ang kandidatong tapat  may konkretong plataporma may malini na track record 
153,kaisa niyo ang kapuso unit para sa isang malini pata na responsibilidad natin ang bumoto hindi lang para sa sarili kundi para sa buong bayan  kaya magsaliksik suriin ang bawat kandidato para magkaroon ng tamang boto  ngayong may
154,mga hakbang sa pagboto sa
155,ang balay dili lig on kung walay  bong bong  ug dili safe kung dili  sara  do ang purtahan  delikado kung daghan ug  le ki  
156,seguridad para sa system go na  ayon kay incom pnp oic pnp chief plt gen  vicent danao jr  via
157,readi not  elect day coming 
158,undecidedwatch
159,petro gazz give voter p  per liter discount elect day    
160,ngayong may sundin ang mga hakbang na ito para sa isang maayo mapayapang pagboto  mage responsableng botant tayo  mga kapuso 
161,readi  amp  exercis right vote follow vote guid before  during  elect date 
162,sa gma network matutunghayan ang komprehensibo real tim na paghahatid ng mga kaganapan sa halalan ngayong may
163,ang dame let  appreci them  wag hayaang matabunan sila ng  paghahanap  niyo sa ibang artista 
164,today  visayan busi post  now  thank
165,montemayor say tax gambling  david push moral regeneration sabong    
166,wahwah comic pink  para sa pilipinas  para sa pagbabago 
167,ang hashtag ng kapuso po  sa kapamilya po yan  pero salamat sa pagtindig 
168,report tondo manila
169,
170,lou ann mae rondina report cebu citi
171,pasilip sa bagong set ng mukhang magagamit ang studio set ng gntv gtv sa lunes  abangan 
172,nueva ecija campaign via
173,prximo lune de mayo tienen lugar la eleccion general en filipinas  millon de filipino se registraron para votar  quin suced al actual president rodrigo duterte dentro hilo analizando esto comicios 
174,araw na lang bago ang botohan para sa tutukan ang gma news public affair marathon coverag mula sa unang bugso  ng may hanggang nn ng may sa gma network channel gma news tv channel
175,jimenez  part  shall continu serv faith past years  due defer wisdom commission 
176,jimenez  heartili congratul dir john rex laudiangco design spokesperson commission  wish best 
177,wala pang may may brownout walang internet na pong nangyayari sa lugar namin    laban lang pilipina
178,gen z  relat much  special discothequ intercontinent hotel makati  now closed  ferdinand marcos  jr  there  place has   
179,gen z  much  special discotheque  ferdinand marcos  jr  els disco intercon hotel makati  now closed  s  video     
180,maaari rin itong mapanood sa ame livestream sa gma news youtub channel bisitahin ang websit sundan din ang gma news sa ame social media account para manatil updat sa mga balita tungkol sa
181,deeann carlo casp
182,yung mga tinatanong sa survey hinahanapan ba ng voter id  sa may hahanapin po 
183,araw na lang bago ang botohan para sa tutukan ang gma news public affair marathon coverag mula sa unang bugso  ng may hanggang nn ng may sa gma network channel gma news tv channel
184,joseph morong report pitx paraaqu
185,latest ang last laylo report  may    
186,
187,
188,
189,
190,
191,
192,jimenez one sever comelec offici investig connect comelec debat controversy  pangarungan offic clarifi jimenez remain director educ inform department 
193,
194,
195,
196,ok na po 
197,
198,
199,
200,
201,
202,
203,breaking  comelec chair saidamen pangarungan appoint comelec law dept dir rex laudiangco act spokesperson commission 
204,utak mo kaya ang tasahin mo 
205,brought byjem sevan  creation daili fresh  amp  frozen  meat  amp  seafood mart
206,debt p     t  that  pesos  need economist parti goer   bbm supporters  may utang tayong trillion pesos    pano maaayo yan ng isang wala naman ginawa  unity  sisirain nyo ang pilipinas 
207,
208,thread
209,presidenti candid senat manni pacquiao friday vow push passag propos sim card registr act  recent veto presid rodrigo duterte     
210,bisitahin ang para sa mga balita tungkol sa
211,oh  uso pala ngayon ang balimbingan sa darat na pro bbm na  pinklawan pa    ctto 
212,huwag kalimutan sa darat na halalan ang sa inyong balota 
213,question demand separ polit church  happens  wew 
214,narito ang pananaw ng mga presidenti candid kung pabor ba sila sa legalisasyon ng abort para sa kalusugan ng mga kababaihan sa pilipinas  naman dito ang kanilang pananaw sa iba pang isyu 
215,elect day come closer  may sure know in out cast vote th fate countri next year depend you  check brief faq help navig vote process 
216,seiya would proud vote monday  person icon approv vote come
217,
218,
219,bir remind candidates  parti post elect tax oblig    
220,mahalaga ang bawat boto dahil ito ang magbibigay ng pagkakataon upang makamit ang isang magandang kinabukasan para sa lahat ng pilipino huwag sayangin ang iyong boto  mage bahagi ng isang maayo matiwasay na pagbabago 
221,sa gma gtv
222,sa survey na isinagibo ning grupo ning mga siklista sa isla provincia ning catanduanes  nanginot ang satong sa pagka congressman sa na respondents  ang nagsabi na si cv saindang iboto sa maabot na
223,tutukan ang pinakamalak elect coverag sa pilipina sa may samahan ang gma news public affair team na ihatid ang pinakakomprehensibong updat dito bisitahin 
224,sagot daw  hoy  edward joseph agustin  video 
225,bantay kuryent electr cooperative  ininspeksyon inayo ang mga linya ng kuryent sa mga eskuwelahang gagamit poll center sa may bumuo rin ang coop ng mga grupong agarang aaksyon sakal magkaproblema sa suppli ng kuryente  batelec
226,
227,ayeee   
228,ngayong may sundin ang mga hakbang sa pagboto mula sa comelec para sa maayo ligta na bisitahin ang para sa latest updat tungkol sa
229,naway makatulong ito mage gabay sa inyo sa pagpili ng susunod na lider ng ate bansa  caption by  joshua sabijon pubmat by  mari clariss balatayo
230,nasa tinatayang milyon na pinoy abroad ang nagparehistro para makaboto sa ang karamihan sa kanila  mula sa middl east  abangan ang ate simulcast ng elect special coverag simula may  manila time  sa gma pinoy tv
231,uniteamd bbm indaysara   th new face philippin filipinos   
232,ang boto ko ay para sa pilipino 
233,check rambo talabong  video 
234,bbm sara
235,piliin ang kandidato base sa kanilang personalidad  karanasan  mga nagawa plataporma  alamin ang mga impormasyong ito bago pumili bumoto 
236,i ll stay home elect end
237,ppcrv field k volunt may poll
238,number code operasyon ng pasig river ferry  suspendido sa lunes  araw ng ayon sa via
239,rt via quot unquot pangulo moreno domagoso
240,
241,bat binalita ng media  bia nga pala 
242,in  commiss elect  comelec  recogn cusi faction pdp laban 
243,ano nga ba ang ipinaglalaban natin 
244,tatlong araw na masidh panalangin  isinusulong ng cbcp para sa via
245,call voter paraaqu citi read this 
246,uniteam supporters  sinabihan na tayo ng tanga  bobo  walang pinagaralan kung anu anu pa  pwes  wag nyong patunayan sa darat na eleksyon sa ate pagboto ang i shad ay ang bilog sa kaliwa ng pangalan 
247,anoth sign 
248,mag amen ka sa sunday  boboto ng magnanakaw monday 
249,presidenti candid senat manni pacquiao friday said see need philippin govern declar  educ crisis   depart educ overhaul due corruption 
250,namfrel misami orient observ final test seal  fts  vote count machin may cagayan de oro city sign namfrel volunteer 
251,cathol bishop confer philippines  nanawagan ng tatlong araw na masidh panalangin sa harap ng sa lunes    
252,ilang guro  inali sa elector board dahil sa hayagang pagkil sa kandidato ngayong ayon sa     
253,na bayan na lungsod  nasa ilalim na ng control para sa ayon sa pnp    
254,atm  critic points  reflect rhetor dimens philippin elect may   pmwatch here 
255,namfrel agusan del sur observ final test seal  fts  vote count machin may prosperidad  agusan del sur sign namfrel volunteer 
256,train less remain firm mission help philippin economi empow busi professionals  remain neutral endors specif polit candid party 
257,presidenti candid senat panfilo lacson  hold last grand ralli home provinc cavit way valu kababayan support despit local leader turn back him     
258,lacson cavit mite de avance  want valu kababayan support despit local leader turn back    
259,harrypound group call filipino peopl exercis right suffrage a organization  harrypound group endors polit parti specif candidate 
260,araw na lang bago ang give reason  sa dami ng balita  platform ad para sa eleksyon  dapat ngayon ay alam mo na kung bakit siya ang iboboto mo 
261,samahan ang mga report ng gma news public affair na ihatid ang pinakamalaki pinakakomprehensibong coverag para sa
262,see  liar ka talaga humaharap daw sa difficult times  puweh  trapo  like
263,sum everything 
264,piliin ang kandidato base sa kanilang personalidad  karanasan  mga nagawa plataporma  alamin ang mga impormasyong ito bago pumili bumoto 
265,leni take swipe bongbong  ang sinung sa umpisa  sinung din sa kahuli hulihan    
266,ayan na  kaso tayo beh 
267,mahalaga ang iyong botoayon sa comelec  milyong pilipino ang rehistrado para bumoto sa ma mataa kaya ang magig voter turnout ngayong taon ps   wag mo sayangin ang boto mo 
268,pa lang bopol ka na  walang binanggit na leni ang op 
269,yung mga sg sa condo nag uusap kanina nung namili ako ng panghalo sa monggo  sg ang ingay na nila lahat no  sg oo kailangan nila yan  sa mga susunod na gabi gapangan na yan  sa isip ko  na gapangan pa rin jusko naman alagaan niyo mga balota niyo 
270,t ng na  pleas lang bumoto kayo ha  wag kayo tamarin 
271,araw na lamang na patuloy pa rin sa pamamahagi ng ang ate mga partner volunteers  i download ang ppkr volunt kit dito  yv l trese martir
272,campaign trail presidenti candid senat hold mite de avancetonight  cebu city  tomorrow  gener santo city   via team pacquiao 
273,papunta na tayo sa excit part 
274,hindi ko binenta yung power vote ko
275,kind work best  thing feel  hear  seemor clearli god walk me for  hi presence  seem bringabout best everything 
276,katotohanan ang magpapalaya sa bayan
277,polit success important  year enough see end polici change  we v seen dutert effect leadership even face high turbul polit arena  need continuity  need marcos duterte 
278,bigyang halaga ang halalan 
279,bawal ma lat kundi magsisisi ka years  huwag mag aksya ng ora bumoto sa loob ng vote hours 
280,bakit si leni mula kay bheck delo santos  isang manggagawang inapi inabuso ng kapitalista sa gitna ng pandem via
281,leni kiko tandem led mock elect conduct palawan state univers school law student government  ctto palawan state univers school law
282,offic civil defens ndrrmc  naka r alert na rin para sa via
283,walang tulugan sa
284,day na lang
285,great mask seriou level  whoever delic task ahead 
286,chill out  matter befal you it matter might been for god put yesterday behind usand everi day let us start again 
287,look  cbcp call three day  intens prayer  may local nation elections 
288,handa ka na ba para sa nalalapit na nation local elect sa lunes  mayo alamin ang patnubay para sa pag boto 
289,gma network bring biggest  comprehensive  trust elect coverag across platform
290,men women pia serv provinc     widest reach make pcoo integr news team coverag biggest one country   
291,handa ka na bang bomoto ngayong lunes  narito ang mga hakbang sa pagboto ngayong
292,kami hardcor kaya kami g na g  fight goe beyond us vs red vs pink  also collect memori affect ident shape futur nation 
293,robredo spox barri gutierrez file cyberlibel complaint vs  news site    
294,handa na para sa pagdagsa ng mga biyaherong boboto sa via
295,courtesy  vp leni media bureau bisitahin ang para sa mga balita tungkol sa
296,nasa sorsogon grand rally  angat buhay bicolandia sina presidenti candid vice presid ka tandem niyang si sen  kaninang umaga  ito ang isa sa tatlong grand ralli na dadaluhan ni robredo ngayong araw 
297,tatlong araw na lang  na  muli nate siyasatin kung ano ano ang pananaw ng mga presidenti candid sa iba t ibang isyu ng ate bansa para sa buong detalye  bisitahin ito 
298,feast eyes  help live victoriousand stayfor thenwil find brighter day 
299,presidenti elect philippin around corner  countri still torn actual experienc public servant someon who  notabl achiev son late dictator  wth go people 
300, about million regist filipino worker abroad vote far  commiss elect said april   
301,radio commerci vote safe surely  step vote tomorrow 
302,gma network eleksyon bring biggest  comprehensive  trust elect coverag across platform    
303,dont sell vote  maawa kayo 
304,alway vote principle  though may vote alone  may cherish sweetest reflect vote never lost  abraham lincoln
305,result survey pure academ exercis lsg constru support school law univers candid garner votes 
306,ilang araw na lang na  kaya vote wise mga veb para di ka tanga tanga today vidyoww
307,sss voter  educ campaign  may
308,miss you 
309,eto yung instanc na dapat tumingin ka talaga sa salamin 
310,vp bet david endors robredo sotto tandem eleksyon    
311,common good  pray   amp  one polit parti  amp  allies  family 
312,
313,anik anik chronicl chikka tita spotifi here 
314,magkakaroon ng citizen complaint center para sa mga reklamo sumbong ng vote buy kaugnay sa via
315,malapit na matapo ang campaign period ng wag po kalimutan ang sa likod ng balota 
316,need histor voter turnout  make sure go vote 
317,commiss elect presidenti forum nation local elect  may   
318,radio commerci follow safeti protocol vote safe new normal 
319,elect day away  rememb vote politician serv countri filipino people 
320,via vis a visstar valu analysi isko moreno domagoso
321,huhuhu iyak iyak huhuhu
322,pnp  towns  citi comelec control    
323,hi    access public po ba ang listahan ng mga botant address  salamat
324,end day training  elect relat activ naman 
325,ssam marikina peep beke nemen gusto nyo mag volunt food prep distribut poll watchers   may volunt date pero may start ng prep  
326,ust quadricentenni pavilion arena  naihanda na para sa gagaw quick count ng sa lunes  may
327,dito  may chanc kang manalo ng gcash prizes  mag regist na sa link na  to  din tayo dito sa e boto  pina forward ph facebook page sa radyototoo 
328,ilang araw na lang  elect na  sure ka na bang hindi ka mabubudol ng kandidato mo  sama sama tayong maniguro makinig ng tip remind para sa araw ng halalan para mage sure na sure ka  tara sa boto  boto  pano ka naghanda   mamayang pm via zoom 
329,namfrel leyt observ final test seal  fts  vote count machin may tacloban city  leyte sign namfrel volunteer 
330,commiss elect resolv recogn alfonso cusi faction rule pdp laban legitim parti wing     
331,bakit big deal na ba na iba iba ng napupusuan ang mga magkakapamilya 
332,naku besties  bawal magkamali sumobra ng shade sa balota  hindi na ito pwedeng ulitin pa  para iwa mali  magdala ng listahan ng mga napupusuang kandidato  unsur pa kung sino ang iboboto  go na sa
333,namfrel northern samar observ final test seal  fts  vote count machin may catarman  northern samar sign namfrel volunteer 
334,matutong manindigan tumindig para sa bayan sa kapakanan ng bawat isa  ipanala na   para sa lahat lyr vote rm 
335,breaking  comelec recogn cusi faction pdp laban 
336,tatlong araw bago ang kami sa gma news public affairs  buong pusong nangangako na iibigin namin ang tama magig totoo sa diwat serbisyo 
337,nation disast risk reduct manag council  ndrrmc  offic civil defens  ocd  red alert statu connect may nation local elections     
338,deserv  educated   one badli need it  cancel peopl lot right track support pinks  epitom saying   you educ still idiot   indeed  are 
339,pacquiao  faction may file motion reconsider comelec en banc 
340,disown one  flesh blood bc polit lean show rotten mind ppl become  nakakahiya   they  demonically  npas  think process reasoning  obviously 
341,pleas use voic amplifi ours vote  us 
342,ano ang panata mo ngayong eleksyon  tatlong araw bago ang kami sa gma news public affairs  buong pusong nangangako na iibigin namin ang tama magig totoo sa diwat serbisyo 
343,rodriguez explain marco grant interview region station small media  ad claim marco hard interview discrimin media firms     
344,comelec en banc yesterday announc recogn pdp laban domin major party  domin major parti access one first elect return vcm prints 
345,manni pacquiao push sim registr bill veto prrd  tell troll basher panahon nyo na 
346,hindi man ako nage part ng peopl power  kasama ako sa people  govern movement ni leni robredo kiko pangilinan  para ito sa ate lahat  ilaban na natin hanggang dulo  para sa bayan  para sa pilipinas 
347,focu surveys   we cannot seem believ god act behalf    erni abellaoh church pleas wake up 
348,accur guidelin regard come elect day  check comelec  video 
349,air  gma gtv bring marathon coverag start may  thi continu noon follow day  may elect result nation local level made avail offici count over 
350,gma network set deliv biggest  comprehensive  trust elect coverag via    gma news public affair coverage  may
351,cusi faction initi field sen bato dela rosa presidenti candidate  dela rosa later withdrew  oppos faction led presidenti candid sen manni pacquiao  run promdi   amp  sen koko pimentel 
352,awit ng team isko kampanya buong bansa mindanao luzon president bise presidentemga senador    
353,papunta palang tayo sa excit part
354,ayon sa polit analyst na si richard heydarian  anoman ang mangyari bago pagkatapo ng ay dapat patuloy pa rin ang laban ng bawat pilipino sa kinabukasan demokrasya ng pilipinas 
355,naku masasabihan k nnman nyang  fake news  day nalang 
356,garcia  nag appoint ng special member break tie kaya nage special second division  comm inting  side comm bulay  origin ponencia comm marlon lost  becam dissent new major decision 
357,comelec comm georg garcia say case raffl special divis vote second divis origin heard petit could broken   sa regular divis po nage       inhibit ako  ang voting  
358,decis divis level  member special second division  side cusi presid comm socorro int comm rey bulay  comm marlon casquejo dissented  via
359,qualified  experienced  competent  sayo kay ang boto ko sa may
360,in  commiss elect  comelec  recogn cusi faction pdp laban  via gma news
361,decis divis level  member special second division  side cusi presid comm socorro int comm rey bulay  comm marlon casquejo dissented 
362,day go elect
363,aralin ang itsura ng balota 
364,bumoto para sa kinabukasan ng nakararami 
365,ang pagbayad ng permit to campaign permit to win sa teroristang cpp npa ndf ay ipinagbabaw maaar ma disqualifi ang isang kandidato 
366,
367,let us join filipino nation pray honest  peac orderli elect may  via  ckm christ king mission seminary 
