,0
164,long time in fact  still impact if true  know marcos  media opponents didn t spread bbm clone if true drugs  media total festival 
165,bongbong marcos  man attempt reviv corrupt polit dynasti
166,shame dont wanna brand way support ever win countri look filipino choos leader  bongbong marcos  man attempt reviv corrupt polit dynasti bbc news
167,jame    so care speech actions  law releas also judg you 
168,bbc decent job sum basic philippin elect monday high stakes  bongbong marcos  man attempt reviv corrupt polit dynasti
169,realli disco drive front you hop governor  vice gov  congressman senat spoke so call now 
170,
171,agusan leni bbm mani care bbm leni one date even though want follow ehh want su bbm agusan lot bbm leni
172,presidenti candid former senat ferdinand bongbong marco jr urg voter vote country  uniti futur monday  elect day 
173,i m excit come may congrat advanc congressman next presid vice presid
174,who  vote  bongbong  marco next filipino president 
175,mayb disco  knows 
176,nobodi know kind shit still wants 
177,who  vote  bongbong  marco next filipino president 
178,vp realli take presid  coz that  bongbong marco offer leni robredo got shit way even more 
179, bongbong  marco cement lead philippin presidenti race
180,explor search interest leni robredo  bongbong marco time  locat popular googl trend
181,vision countri least one nuclear power plant final produc cheap energi us lower electr rates  
182,also opinion thief that  point view stop twist fact fit delusion narratives thieves si bongbong marcos period no erase argu wall 
183,go church saturday sunday pray fair safe landslid win 
184,srsly  who  even mr bongbong marco he  marcos 
185,mayb like bbm day criticized that seem politician i true mayor central luzon cavitena 
186,power internet rewrit histori real time stunning  re elect son worst dictator candid bongbong marco leads  despit refus interview debates 
187,report review  lian buan bongbong marco via
188,true former sen i cosefleri northeast mayor marri northeast just asking 
189,bongbong marcos  man attempt reviv corrupt polit dynasti
190,current poll bongbong marco ahead  for may    
191,interest power bongbong marco campaign philippin elector abroad i middl lisbon saw woman wear marco t shirt portugues philippin flags  promot marcos 
192,philippin election  tiktok help bongbong marco
193,bbm solid
194,famou oversea neg way what embarrass    
195,ilocano
196,read it i m sure know read you may also inherit fetch diploma
197,chang alt account quota naba yung one do lot evid allegation go straight court mak lawyer president   yr never imprisoned 
198,despit tumultu era philippin history  marcos  dictatorship bare discuss school textbooks th result misinform learn social media tend stick even support bongbong marco confront fact bas rebuttals 
199,bongbong marco alon country  us filipinos what contribut himself  father mother herself what contribute 
200,live lhat team uniteam
201,dish delici now  success 
202,strateg plan wait    
203,support pakical also famili tri die rob
204,irrelev xsenat week b  elect live bear   
205,troll bongbong marco bistado   via
206,vote uniteam vote uniti love country  presidenti candid ferdinand bongbong marco jr said cap campaign mindanao region 
207,
208,jamburat demon meet cyberbully  demon like
209,liar beginning liar end that  bongbong marcos 
210,go bongbong marco am  mapildi imoha
211,
212, after call spoil child weak leader  pres rodrigo dutert presidenti bet bongbong marco jr   via
213,this i love leni robredo suggest bongbong marcos  
214,bongbong marco
215,beh watch makati mda later peopl power demo beh 
216,script nyo yan hahahhahaa love like dba hahahahahaha
217,wrong thi
218,elect  liar begin till end  leni r  bongbong marco jr  via     town choose 
219,supporters 
220,ahahaha candid madumb releas drug test 
221,wet ka muna po bgo ka mag comment po ok    bumira ka naman hahaha
222,uniti amp healing uniteam dad digz bongbong marcos inday sara bbmsara win 
223,live presid bbm sarra stay safe
224,type leadership marco jr manifests thi bad please  marcos 
225,naway lower price good item everi     countri    especi slurpe   now presid elect ferdinand  bongbong  marco jr     philippineslong live  amp i know good place
226,jiggl mo hahahahaha
227,presid ferdinand  bongbong  marco jr nextweek shootii 
228,excus po mr  mrs leviosaar data did realli read it eh link pass   tabang managabang   
229,presid bongbong marco next week cutie 
230,bbm fanat awake  bbm lost
231,
232,chairman nur misuari short video statement  full endors mr  amp mayor
233,de bobo inherit
234,bongbong marcos  man attempt reviv corrupt polit dynasty a dictator  son rewrit histori tiktok bid becom philippines  next president 
235,
236,man attempt reviv    
237,forget monday  may ferdinand bongbong marco inday sara dutert
238,rest peac due polit deceas bbm support nt teacher makani    
239,ye final judgment given peopl robbed it bongbong marco peopl mindanao lost right disrespect valu mrs robredo compani given reveng vote real 
240,hope help famili achiev justice sen
241,elected  former senat ferdinand bongbong marco jr will presid filipino regardless polit color  spokesman said 
242,wag  dear just give say boast finish abuss 
243,reach attention  fyi this 
244, i spread misinformation  spread support bongbong marcos girl
245,rememb tv  ab cbn report previous one spread fake news
246,hahahaha     yan ba script nyo wla other    
247,introduc troll si ex senat nikki
248,kawawa naman troll mo you pay hahahahha
249,sorri coseteng  prrd also comment badli bbm no effect who again whi win 
250,googl trend updat may  philippin elections resid leni robredo     bongbong marcos     isko moreno    movementvice presid s  duterte     f  pangilinan     v  sotto     movement
251,dear elected  ensur martial law declar taken advantag needed and corrupt repeated 
252,so  that  it h air person opinion student  which fair point tbh  that  enough end life so  bongbong marco decid end life numer critic criticism  blame it 
253,hima rail open
254,can t know
255,kng kelan elect appear air 
256,dolphy  eddi garcia kuya germ heaven super happi bongbong marco presid elect also extend inday sara dutert well 
257,ye marit peg
258,report review  lian buan bongbong marcos 
259,former sen bongbong marcos  led presidenti survey publicu asia conduct may
260,get muled  please sav democracy 
261,desperate last attempt tri get vote side rappl also releas today  reporter  interview bbm
262,philippin election  tiktok help bongbong marco
263,
264,watch word littl kid
265,ah   sigh   so believ soldier beauti queen alreadi worth billion flee hawaii mass produc disinformation not misinformation  disinformation big difference 
266,bongbong marcos  man attempt reviv corrupt polit dynasti
267,pleas investig alarm issue  help famili
268,proud pinoy moment reach anoth countri shame family 
269,messi world first time know twitter th disrespect released it matter days 
270,
271,that  right  how mani time request count still still al want power control pi amp to get what  kaba yan onli post rally  fraud what elect yet 
272,long lost suddenli appear talk   
273,ahahhahaha  let  love windmills 
274,ako po c atti liza add windmil less
275,check npr stori morn bongbong marcos  rise philippines i use listen stori piti trump we r live reality 
276,trruuueeeeee
277,ferdinand  bongbong  marco jr i namesak dictat father  whose two decad grip power end popular  military back upris marco sr   rule infam brutal follow imposit martial law 
278,would critic friend would led this h leader aitaiti eh at first ran fight bbm there salt too 
279,mayb tomorrow stop crying 
280,bongbong marcos  man attempt reviv corrupt polit dynasty hi father ruthless dictator  mother gain intern notorieti massiv collect shoes  
281,achiev nikki coseteng senat tell good 
282,includ list
283,super handsom new contour minu yr old
284,mayb someon answer question say stupid realli can t imagin want son lt major ww  congressman senat yr presid ad mother bia
285,watch icymi  report  first series  take so cal marco countri northern amp explain mass appeal presidenti bet amp th late dictator  son  ferdinand  bongbong  marco jr take
286,pleas help famili justice  kapampink
287,match nyan
288,hope hair
289,martial law bbm curfew disco dillaws  pinclaw came story pests 
290,see
291,
292,helpless life
293,pleas ask bracelet hehehehe  signatur na din po sana hahahahah  chariz
294,pres elect may  ap piece 
295,bongbong marco nazi 
296,bbc news bongbong marcos  man attempt reviv corrupt polit dynasti
297,say work never reach congress senate buangzon number naman ata
298,rappler report ms lian buanon bongbong marcos hat fearless 
299,love son eh want thief 
300,number bbm turn vote go vote him let  unit vote well senators w make   st ever major tandem  must
301,wet dream
302,sure torrid  gum gums 
303,know is who good running se differ a d dubai becaus differ leader least one country th crimin may also reduced ther mani pinas  girl scout street always 
304,can t end politics but push person end life belt person karma give deserv
305,one life many if candid toler bullying  smear neg campaigning  support follow suit how good leader can t even tell supporters 
306,president 
307,
308,presid bongbong marcos th next presid philippin bbm 
309,tri cheat see preview edsa
310,day tovictori
311,give fuck her go leni    guys it  spreading 
312,glad know good policymak aid proper science 
313,check year servic reach congress 
314,bongbong marcos  man attempt reviv corrupt polit dynasty 
315,justic fedrick mark bico alba plss hope help get justic help famili rest peac kuya fedrick fight you 
316,coin cidence coin talaga it  funni there  tiger     there  hawk eagl year coin mean presidency  elect date  number bbm number indaysarah 
317,thousand support countri come full forc robredo  knock door convinc voter bid close gap presidenti frontrunn ferdinand  bongbong  marco jr 
318,presidenti aspir former senat ferdinand bongbong marco jr and famili met china  top diplomat philippin attend ribbon cut ceremoni chines embassi manila wednesday 
319,news now bongbong marcos  man attempt reviv corrupt polit dynasti bbc news see
320,hope works immediately it  realli sorry hop also think peopl abroad how it or non  lucki ones good middl day vote well  prior local kesa expat would
321,
322,enjoy 
323,long time want push parliament case conflict
324,vote becaus read read fiv run two 
325,predict test predict skill vote think happen may elections    former senat bongbong marco receiv    
326,hope increase i read lot outsid stan tweet within ours that  everyth feed som leni stan aggress read it forcing someon ask me ar bad i answer no becaus believ that nyo 
327,waga na walang manira tv ito na langw president  long bbmsara dutert marco dutert marco dutert marco dutert
328,haha haha sampl nyo nman that  good make stori e 
329,hoi stupid  would like win  that noth els done without sigh steal stupid karin eh like president 
330,hijo de marco e imelda  bongbong marco favorito en la electcion de filipinas  en filipinas  el favorito en la encuesta ser presid de la repblica evoca tiempo oscuro terror de state  la mayora est https    
331,work hard silence  let victori noise 
332,hi car share vote it i official 
333,sad ther access happen
334,year end father  dictatorship  ferdinand bongbong marco jr clear favorit win next week  presidenti election 
335,thank you thi prove even leni transpar public ever sinc candidaci vp back seem like one issu this th money donat campaign manag bam aquino 
336,madam  hobbi young one disco    decad  s earli  s  expect first tast drug     miss career vice   
337,hope safe elect come may godspe bbm candidates 
338,yung kiss ko kay laboch ha   
339,retir suprem court senior associ justic antonio carpio warn possibl loss philippin sovereignti west philippin sea  wps  presidenti aspir ferdinand bongbong marco jr win upcom elections 
340,this 
341,think truli success god bless uniteam alway cef former provinc iloco nort live ken god apo iti mansalacnep kayo nga dua kenni madam inday sarah
342,coseteng th that  dna known float politics 
343,
344,solid tayo madam
345,taray  high drug sinc seem know that hahahah what titl wattpad 
346,these don t like martial law marco bongbong  fact  grandfath assur would never vote marco knew dirt circumst marcos  regime 
347,ever win noisi world eh di chang democrat parliament government mmm that  right oth hold area lik uae it  mess much pinas below standard criteria applic
348,park jan   
349,   voter propel excit offici proclam june  congratul presid ferdinand bong bong marco jr vice presid sarah duterte congratul philippines 
350,nice time elect period pa talaga
351,think young peopl realli go stage i know that  too  life good 
352,red tag oh hahahaha
353,look oh call thief   send b gcash not ignor real thief 
354,know that it  subtl endors juan tamad aka bongbong marcos mi blood everyon believe just take break mayb air run oxygen tank 
355,hope famili okay becaus end topic whi help famili
356,put                what toooooo    
357,rememb more  lintek eyebrow libel 
358,tight security their secur team alreadi anticipating it like intel report jan
359,president 
360,bongbong marco move philippin closer china
361,song you hahahahaha
362,that  libel case 
363,asan na po link source that  ruin want proof
364,well coach jarret earlier    i m also nervou last yan eh   
365,strength crap lot haha  gave definit  christma lanterns  wheth muslim religion know is unless live  si   
366,
367,forev loser 
368,
369,paraaqu meet bongbong marco sara dutert compound held tomorrow tonight  sara father  duterte  expect attend davao citi change  avance  avanc meeting     hour
370,kapampinks   we condon cyber bullying kapampinks   let  mass report pro vlogger blogg suspend 
371,instead well educ realiz peopl kill yakkk
372,spread atleast kill peopl
373,philippin election  tiktok help bongbong marco
374,inc po mean church christo like call church cori ka kase hahahahah
375,philippin may vote bongbong marco office  even though parent stole billion countri abc news
376,kaba ka yang messag potek  wear cod gear 
377,campkink die yakkkk
378,wow mani cri akkampink die man
379,tanginamo claim die big yakkk
380,beauti
381,least game come rank pull even get score increas score
382,see libel case brew
383,happi weekend everyon good luck monday elect day good luck next presid that  bongbong marco mayor inday sara dutertewil alway support uniteam
384,import notes th incumb governor maguindanao endors bongbong marco commun leader moro islam liber front endors vp leni robredo thru unit bangsamoro justic party thi battleground province 
385,said video     highlight fun drug almost promin famili children also go event celebr famous but bbm  life never lost unlik others 
386,one go wash camp mark anthoni villanueva would allow cyber bullyinglet remind peopl call us  tanga bobo  sinc support dutert
387,god  guid god know know alway look disobey someth learn never ruin heart mind recogn god work love h
388,presid rodrigo dutert break recent pronounc endors presidenti race frontrunn ferdinand marco jr at eleventh hour 
389,care go tomorrow 
390,still hope last pass torch
391,hello that life young one disco bars 
392, son of  look like win pres election bi  ani attempt chang manila  foreign polici  in favor issu may run nationalist public opinion 
393,anjan ako tomorrow se mates 
394,bbmsara
395,
396,think stll young rana martial law b  good trend b  
397,prove first addict thief ok u prove salut u    
398,report review  lian buan bongbong marco via
399,hahahha wlang bokang big hahahhaha yan lang bah hahahaha look anyway hahahhahaha    face cguro look like c ninoy hahahhaah
400,pa pa oh proud k nyan it  funni n nmn pina nito 
401,lie rotat
402,dibaaaa h look like  he sourc bongbongmarcos c om  proud proud tando oyyy lol hahaha umot nlnggg
403,late thi publish least month ago two day election however  sad realiti ill inform educ voter easili sway fals promis bongbong marcos 
404,bongbong marcos sara dutert poll teatase  wkwkw ga kaget misal tommi soeharto bisa jd presiden
405,hearsay say girl live bbm  hous conclud never worked nev daw ha and alway disco dj ka ba non girl or stalker you hearsay yan defam without evidence 
406,presid ferdinand bongbong marco jr cutiee
407,goe pretti look aesthet intern eyebrowsow
408,coke say troll     pano yan dmo given  hahahahaha
409,even pay job hahahahhaha realiti harsh     mom dying send number nalang  ako send gcash  hahahahaha
410,interview anc  pay attent
411,wow must watch it  great definit bongbong marco is  
412,hope cant pepol vaccinati philippin year help sahipin open tv patrol rest tagalog wil sakin year crisi philippin help philippin next year marco
413,look oh  paymu time 
414,ban coke without coke model c guanzon hahahhahaha
415,oh speak clean      talk paraaqu shota tobacco     hahaha
416,marco word de nieuw prejud respect sah lenni robredo fan good job respect de marco fan fan     wil seey philipin year tayfoon vulkaan help philipin plz
417,
418,emphasi word corrupt    
419,remember  bongbong marco wins  without apolog famili martial law  fail  filipinos  fight for  remember  victim era 
420,want particip challeng
421,wla na ba differ script pleas    kid binulli nag bigti     yun naman nyo     hahahahha
422,paid daw nya oa na na receiv sa gcash nya hahahahah
423,realli mess tomorrow ever   
424,stupid stupid bastat thiev addicts  diba
425,that    
426,never receiv gcash    
427,pleas point out  open mind naman ako 
428,bongbong marco ask cambridg analytica  rebrand  famili imag
429,hit  ba troll you did give coke to 
430,one  mom  leng leng leng
431,oops  sorry just say struggling i l adjust 
432,mayb interrupt other go eh    know oppos defeat   
433,oh  mayb deactiv said activated 
434,ngek ngok  use term right you r realli stupid compr eh okay  ciao anyway  know stupid but know  bout u it seem like u are 
435,can t even attend   
436,presid bongbong marco may cutie
437,report review  lian buan bongbong marco via  s listen together 
438,thank payoooooo huhuhu
439,sad maamand teacher pala ang nambulli
440,hey  don t feel cheating  proof sc says you r spread fake news  well  noth new  pathetic 
441,course ar you  activated 
442,realli    why 
443,probabl lol
444,again  all bobo talaga 
445,
446,bobo ka manang at first said would yet insist camping y boguk compre 
447,back school  manang y seem studi properly lol 
448,
449,wow  call grandchildren ipocrita did blame him you r realli victim if fact slap you  tell us bulli can t accept stand crooked 
450,
451,oh  campik that if bbm support caught steal rallies  robbed 
452,putangina mo bongbong marco realli swear   becaus everi day get parents  interpretation fuck marcoses fuck thieves fuck elites fuck dynasties 
453,leni  kiko top independ survey poll expertsth survey show robredo percent bongbong marco got percent in vice presidenti race  pangilinan got percent  slightli edg sara duterte  got percent 
454,prinoprovok tlga nila grabe tong tv  tlgang mga partisan tlga fakenew pa 
455,hahaha  realli victim why  court order ruin that and  evid cheat election don t start candidate 
456,
457,imelda bongbong marco use gold     via
458,
459,anoth has been famewhor seek attent
460,p mandag er der valg filipinene det ser ud til blive en klar sejr til teamet bongbong marco og sara duterte alt snnen af den tidlig dictat ferdinand marco og datteren af den nuvrend prsident og selverslred morder rodrigo duterte v 
461,kadir ka
462,polit analyst edmund tayao   black swan  could prevent immin win presidenti frontrunn ferdinand  bongbong  marco jr   upcom may election 
463,done madam i earn anything y slow    may mad 
464,true ata nk see boss k pro kbtaan pro see nmn ruin life xa ngpakaadic    bbm po aq khit
465,admit    presid bbm monday yey thank madam 
466,sign napo still kid   
467,presid vice presid end
468,good po yan    tuloy nio lang you can t anyth wins pray nio ther key want madam leni    relax you r pagoda already haha
469,support believ histor narr corruption  cronyism  econom decay marco era concoct polit rivals 
470,sir tell papictur eh heheh
471,vote bongbong marco act disrespect victim martial law
472,congratul pop reach million follow facebook mak sure focu program becom president padayon uniteam 
473,that  challenging  inc al right  challeng realli inc   
474,presid rodrigo dutert undermin threat two presidenti destabil event former senat ferdinand  bongbong  marcos 
475,last man stand woman    inday sara realli vice presid th presid republ philippines ferdinand  bongbong  marco jr i think ms toni g  victori parti
476,yellow  liar     
477,open minded y want listen to so get older without know it 
478,thick face say spread wherein are  mudsling vp leni baseless remarks 
479,one win tak sink together and pay bbm support paid se ralli make money hav seen leni  ralli like that loyalist apologists 
480,true edited  oh my that  it 
481,fight i m simpli state facts i narrow minded eh know research like realli know do know still blind truth you embarrass filipino people then say child hahahaha obob
482,embarrass filipino lie
483,bongbong marco bbc news uk funni topic accord twitter  dot  comi say true
484,call support join uniteam protect vote monday 
485,steal you hey proven marco famili mani stolen resources don t victim your face thick 
486,can t wait call bongbong marco presid let  win
487,president  president  president  worthi sit down th peopl shout bongbong marcos  surpris
488,hope come pre help deceas family rest peac po  poor unabl reach true good governance 
489,utot mo 
490,miss fb friend bbm support furiou fb pic tombston  career bongbong marcos i flesh right hop ok
491,could wil never h elitist a stolen poor luxury when return stolen pay tax
492,mani recount have bwhahaha
493,msu maguindanao mock elect  organ colleg public affair governance presidents  photo grab cpag  facebook page 
494,i m pure filipina presid bongbong marco jr and vice presid sara dutert   para steal   
495,filipino unit show world money machineri oligarch communist outsid factor dont alway work th truth shall set philippin free 
496,fals asia  leader lie filipino fuck
497,potanginaaa mo bongbong marco
498,kids 
499,bbm sara team vow address malnutrition  new era   bongbong marco  unifying  president  say sister imee 
500,soliare br tom
501,ferdinand  bongbong  marco jr    stan piss much even way type make want goug eye
502,pray wonderful  safe joyou meet de avanc tom god bless
503,bbc news bongbong marcos  man attempt reviv corrupt polit dynasti
504,bat stolen 
505,marco vow support filipino inventors  push solar panel address power woes  marco vow creat job econom recovery  infrastructur marcos sara priority 
506,sad guy favorit win election h debat anyone  let famili dirti money corrupt continu ruin peopl live philippines th appl fall tree action alreadi shown
507,read me bbm bare job creation plans  support biz sectors  vow review health care system  marcos  sara dutert vow  continue  improv presid achievements 
508,wow welcom home soon 
509,bongbong marco
510,final result march may  eleven philippin
511,check pco machin queue room  offici watcher assign distribut id  watcher bongbong marco teampagbagbagbago feder parti philippin g kayko teach watcher ask pay 
512,drone shot
513,let uniti prevail mankind     
514,ako real name real face  you bottomline  presid thief lot addicts  drugs  town  money  lie graduat haha  ayan troll ah mayb earn it babu 
515,ili titaaa see u tomm   
516,pop win talaga    
517,philippin election  tiktok help bongbong marco  time
518,patikim sir
519,presid bongbong marco vice presid sara duterte  cutie 
520, bongbong marcos  man attempt reviv corrupt polit dynasty  
521,coseteng   he  bongbong marcos  alway high  on drugs   
522,heart 
523,ang huge neto kif ralli here  capac million million becaus per sqm fit         balloons 
524,let  see stand
525,expect prrd attend uniteam  final meet de avanc support son also support
526,hi mamaaaa
527,presid bongbong marco next week 
528,next
